year,pct,race,count
2003,1,A,28
2003,1,B,276
2003,1,I,1
2003,1,P,30
2003,1,Q,116
2003,1,W,133
2003,1,X,9
2003,1,Z,44
2003,5,A,137
2003,5,B,186
2003,5,P,20
2003,5,Q,140
2003,5,W,90
2003,5,X,4
2003,5,Z,67
2003,6,A,11
2003,6,B,417
2003,6,P,17
2003,6,Q,117
2003,6,W,153
2003,6,X,3
2003,6,Z,14
2003,7,A,74
2003,7,B,498
2003,7,I,2
2003,7,P,146
2003,7,Q,707
2003,7,W,128
2003,7,X,10
2003,7,Z,146
2003,9,A,34
2003,9,B,434
2003,9,I,2
2003,9,P,79
2003,9,Q,554
2003,9,W,380
2003,9,X,9
2003,9,Z,203
2003,10,A,30
2003,10,B,666
2003,10,I,4
2003,10,P,79
2003,10,Q,353
2003,10,W,199
2003,10,X,14
2003,10,Z,91
2003,13,A,17
2003,13,B,335
2003,13,P,24
2003,13,Q,154
2003,13,W,140
2003,13,X,12
2003,13,Z,86
2003,14, ,2
2003,14,A,90
2003,14,B,1509
2003,14,I,7
2003,14,P,106
2003,14,Q,610
2003,14,W,519
2003,14,X,61
2003,14,Z,251
2003,17,A,8
2003,17,B,162
2003,17,P,11
2003,17,Q,55
2003,17,W,61
2003,17,Z,31
2003,18,A,17
2003,18,B,357
2003,18,I,1
2003,18,P,37
2003,18,Q,224
2003,18,W,149
2003,18,X,9
2003,18,Z,76
2003,19,A,15
2003,19,B,443
2003,19,I,3
2003,19,P,49
2003,19,Q,233
2003,19,W,210
2003,19,X,8
2003,19,Z,27
2003,20,A,22
2003,20,B,379
2003,20,I,2
2003,20,P,50
2003,20,Q,198
2003,20,W,125
2003,20,X,11
2003,20,Z,53
2003,22,B,44
2003,22,P,7
2003,22,Q,37
2003,22,W,22
2003,22,X,3
2003,22,Z,6
2003,23, ,1
2003,23,A,7
2003,23,B,1457
2003,23,I,1
2003,23,P,215
2003,23,Q,1053
2003,23,W,86
2003,23,X,21
2003,23,Z,141
2003,24,A,8
2003,24,B,616
2003,24,P,125
2003,24,Q,386
2003,24,W,74
2003,24,X,12
2003,24,Z,55
2003,25,A,6
2003,25,B,1337
2003,25,I,2
2003,25,P,127
2003,25,Q,651
2003,25,W,161
2003,25,X,39
2003,25,Z,278
2003,26,A,5
2003,26,B,721
2003,26,I,1
2003,26,P,97
2003,26,Q,186
2003,26,W,32
2003,26,X,17
2003,26,Z,71
2003,28,A,3
2003,28,B,1426
2003,28,P,64
2003,28,Q,139
2003,28,W,36
2003,28,X,7
2003,28,Z,40
